Type,Abbreviation,Variable,IssueCategory,PolicyObjective,Weight,Description
EPI,EPI,Environmental Performance Index,,,,The 2024 EPI combines 58 indicators across 11 issue categories
PolicyObjective,ECO,Ecosystem Vitality,,,45.00%,The Ecosystem Vitality policy objective measures how well countries are preserving
IssueCategory,BDH,Biodiversity & Habitat,,Ecosystem Vitality,25.00%,The Biodiversity and Habitat issue category assesses countries’ actions toward retaining natural ecosystems and protecting the full range of biodiversity within their borders. It consists of 12 indicators: protection of marine key biodiversity areas
Indicator,MKP,Marine KBA Protection,Biodiversity & Habitat,Ecosystem Vitality,3.00%,Percentage of area designated as Key Biodiversity Areas (KBA) within a country's exclusive economic zone(s) that is covered by marine protected areas. Marine Protected Area data comes from the March 2024 release of the World Database on Protected Areas (https://www.protectedplanet.net/en/thematic-areas/wdpa?tab=WDPA). Data on KBAs
Indicator,MHP,Marine Habitat Protection,Biodiversity & Habitat,Ecosystem Vitality,3.00%,Percentage of important marine and coastal habitats -- coral reefs
Indicator,MPE,Marine Protection Stringency,Biodiversity & Habitat,Ecosystem Vitality,0.50%,This pilot indicator estimates the stringency of marine protected areas (MPAs) by comparing total fishing effort on a given year inside versus outside MPAs within a country's exclusive economic zone(s). A score of 100 indicates that fishing efforts inside a country's MPAs is 1% or less than the fishing effort outside MPAs
Indicator,PAR,Protected Areas Representativeness Index,Biodiversity & Habitat,Ecosystem Vitality,3.00%,The Protected Areas Representativeness Index (PARI) indicator measures how well terrestrial protected areas represent the ecological diversity of a country. This metric is calculated by CSIRO (https://geobon.org/ebvs/indicators/protected-area-representatives-connectedness-indices/) using high-resolution remote sensing data and biological records of species' locations. A score of 100 indicates that a country's terrestrial protected areas nearly perfectly represent the country's ecosystem diversity
Indicator,SPI,Species Protection Index,Biodiversity & Habitat,Ecosystem Vitality,4.00%,The Species Protection Index (SPI) measures how well a country's terrestrial protected areas overlap with the ranges of its vertebrate
Indicator,TBN,Terrestrial Biome Protection (national weights),Biodiversity & Habitat,Ecosystem Vitality,2.50%,We derive the terrestrial biome protection indicator by first calculating the proportion of each biome in a country that lies within a protected area. We then give greater weight to biomes that are relatively rare within a country – and less weight to prevalent biomes – before aggregating the proportions. A score of 100 indicates that a country protects at least 30% of each of its biome types
Indicator,TKP,Terrestrial KBA Protection,Biodiversity & Habitat,Ecosystem Vitality,2.50%,Percentage of area designated as Key Biodiversity Areas (KBA) within a country's territory that is covered by protected areas. Protected Area data comes from the March 2024 release of the World Database on Protected Areas (https://www.protectedplanet.net/en/thematic-areas/wdpa?tab=WDPA). Data on KBAs
